Phylum,TARA_004_SRF_0.22-1.6,TARA_141_SRF_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_SRF_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_SRF_0.22-3
Proteobacteria,164,96,9,110,20,115,9,102,21,123,17,132,175,239,17,170,126,41,25,54,11,48,36,77,12,53,28,120,243
Proteobacteria,99,131,7,171,17,80,16,160,30,178,13,186,200,252,8,83,109,17,25,58,8,50,65,114,9,55,32,174,38
Proteobacteria,123,107,4,116,5,118,2,140,22,141,7,177,217,269,4,127,80,17,4,54,0,43,69,138,2,89,19,149,17
Proteobacteria,120,153,23,138,27,168,15,195,35,202,16,198,226,227,26,130,129,13,26,68,9,53,57,122,15,100,42,140,13
Proteobacteria,0,0,768,1,1037,17,533,30,338,3,809,8,2,0,965,4,5,1,853,7,353,1,187,0,836,0,469,0,0
Proteobacteria,155,103,20,161,39,85,34,130,28,138,41,177,230,194,21,103,117,30,63,55,2,32,41,83,24,56,51,138,113
Proteobacteria,165,120,1,167,8,79,6,155,24,168,2,168,245,309,12,118,96,11,12,59,3,61,64,131,10,151,29,171,3
Euryarchaeota,0,1,359,75,632,11,664,93,3256,11,579,13,11,3,369,7,9,0,745,0,69,6,65,4,178,0,193,0,0
Proteobacteria,179,35,0,175,2,1,1,59,4,82,3,33,196,135,4,86,16,1,4,131,0,32,134,237,4,186,22,209,0
Proteobacteria,8,7,0,144,0,88,0,402,2,369,1,339,353,164,2,409,155,21,1,577,3,996,20,27,2,7,6,31,27
Cyanobacteria,112,1156,1,294,4,96,0,169,2,430,2,296,126,73,2,115,29,46,3,175,0,11,3,17,1,72,11,138,0
Deferribacteres,94,69,1,306,4,19,1,89,7,216,1,79,68,150,1,11,37,3,2,4,1,40,88,269,0,121,3,69,0
Proteobacteria,7,2,59,75,19,7,64,58,48,62,78,35,15,7,84,2,11,0,47,9,15,12,26,19,41,18,38,21,0
Chloroflexi,4,25,4,286,1,162,9,263,25,220,2,129,51,10,9,40,79,1,16,13,3,37,31,79,4,4,0,5,0
Proteobacteria,175,86,60,169,94,100,49,192,89,201,101,142,174,271,86,117,110,22,130,50,41,38,56,92,59,81,74,105,39
Deferribacteres,0,0,8,0,4,0,6,1,4,2,3,1,2,0,4,1,0,0,3,0,4,0,1,0,3,0,0,0,0
Proteobacteria,15,183,14,267,0,113,4,378,24,405,7,270,143,57,4,57,83,1,3,44,0,75,40,100,0,22,3,16,1
Proteobacteria,451,1,3,7,12,360,0,26,5,72,0,161,361,559,2,362,270,8,13,49,1,17,8,13,1,12,11,129,1
Deferribacteres,0,0,0,0,0,1,1,1,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Deferribacteres,76,19,0,23,98,130,5,24,11,44,5,73,164,86,1,491,212,128,40,43,0,56,13,18,1,10,11,14,3
Proteobacteria,203,93,5,145,5,93,5,141,26,145,11,142,184,277,18,97,82,27,17,69,6,50,39,103,12,87,23,147,10
Euryarchaeota,23,27,5,259,33,402,8,106,59,237,8,266,141,218,8,54,109,1,26,27,6,93,66,185,10,48,7,20,0
Cyanobacteria,180,61,1,268,0,0,0,42,0,71,0,24,159,105,0,76,0,0,0,113,0,39,160,306,1,279,29,233,0
Proteobacteria,150,88,10,95,13,155,4,128,35,106,8,114,160,246,11,151,141,63,21,50,10,31,43,80,1,87,23,111,17
Proteobacteria,7,2,429,29,1,58,799,410,1503,178,707,170,123,51,537,31,26,0,85,40,15,0,25,0,11,0,30,7,0
Thaumarchaeota,0,1,714,2,735,13,455,8,173,2,724,5,1,0,711,0,0,1,652,0,563,0,251,0,899,0,498,0,0
Proteobacteria,6,0,200,0,30,0,16,4,14,2,68,1,8,5,19,0,0,1,245,206,4701,130,1141,55,164,30,13,0,1
Proteobacteria,153,80,22,99,28,185,39,144,37,120,43,162,206,238,33,164,153,82,65,68,13,41,30,61,22,30,47,72,45
Actinobacteria,41,189,1,194,0,24,0,100,14,115,1,140,125,211,0,66,51,0,0,11,2,5,50,129,1,37,12,66,0
Proteobacteria,222,106,2,162,6,91,0,110,20,132,2,124,146,296,2,74,90,23,5,75,5,41,46,110,3,68,22,121,19
Bacteroidetes,85,252,18,335,26,28,16,202,48,188,20,166,73,163,9,7,92,0,8,21,7,40,42,97,7,62,8,35,0
Proteobacteria,209,79,9,55,13,206,1,90,19,99,13,81,155,225,13,326,192,93,23,71,4,29,11,40,3,34,17,72,155
Proteobacteria,95,89,74,178,55,78,49,244,109,235,87,154,182,157,88,135,102,4,96,50,48,24,49,91,57,124,114,96,5
Proteobacteria,345,95,2,181,2,24,4,139,12,217,0,108,201,261,4,127,70,1,2,17,1,21,92,169,0,235,22,191,0
